2022-05-31 15:56:10,853 DEBUG  ROS Time: 1653983770 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:12,856 DEBUG  ROS Time: 1653983772 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:14,857 DEBUG  ROS Time: 1653983774 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:16,859 DEBUG  ROS Time: 1653983776 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:18,862 DEBUG  ROS Time: 1653983778 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:20,866 DEBUG  ROS Time: 1653983780 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:22,867 DEBUG  ROS Time: 1653983782 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:24,870 DEBUG  ROS Time: 1653983784 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:26,874 DEBUG  ROS Time: 1653983786 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:28,875 DEBUG  ROS Time: 1653983788 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:30,878 DEBUG  ROS Time: 1653983790 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:32,881 DEBUG  ROS Time: 1653983792 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:34,883 DEBUG  ROS Time: 1653983794 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:36,887 DEBUG  ROS Time: 1653983796 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:38,890 DEBUG  ROS Time: 1653983798 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:40,891 DEBUG  ROS Time: 1653983800 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:42,894 DEBUG  ROS Time: 1653983802 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:44,898 DEBUG  ROS Time: 1653983804 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:46,904 DEBUG  ROS Time: 1653983806 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:48,909 DEBUG  ROS Time: 1653983808 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:50,912 DEBUG  ROS Time: 1653983810 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:52,915 DEBUG  ROS Time: 1653983812 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:54,921 DEBUG  ROS Time: 1653983814 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:56,924 DEBUG  ROS Time: 1653983816 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:56:58,925 DEBUG  ROS Time: 1653983818 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:00,930 DEBUG  ROS Time: 1653983820 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:02,933 DEBUG  ROS Time: 1653983822 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:04,935 DEBUG  ROS Time: 1653983824 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:06,938 DEBUG  ROS Time: 1653983826 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:08,941 DEBUG  ROS Time: 1653983828 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:10,945 DEBUG  ROS Time: 1653983830 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:12,947 DEBUG  ROS Time: 1653983832 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:14,950 DEBUG  ROS Time: 1653983834 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:16,953 DEBUG  ROS Time: 1653983836 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:18,955 DEBUG  ROS Time: 1653983838 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:20,958 DEBUG  ROS Time: 1653983840 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:22,961 DEBUG  ROS Time: 1653983842 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:24,963 DEBUG  ROS Time: 1653983844 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:26,964 DEBUG  ROS Time: 1653983846 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:28,967 DEBUG  ROS Time: 1653983848 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:30,970 DEBUG  ROS Time: 1653983850 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:32,972 DEBUG  ROS Time: 1653983852 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:34,975 DEBUG  ROS Time: 1653983854 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:36,977 DEBUG  ROS Time: 1653983856 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:38,979 DEBUG  ROS Time: 1653983858 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:40,982 DEBUG  ROS Time: 1653983860 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:42,988 DEBUG  ROS Time: 1653983862 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:44,990 DEBUG  ROS Time: 1653983864 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:46,991 DEBUG  ROS Time: 1653983866 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:48,994 DEBUG  ROS Time: 1653983868 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:50,995 DEBUG  ROS Time: 1653983870 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:52,998 DEBUG  ROS Time: 1653983872 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:55,001 DEBUG  ROS Time: 1653983875 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:57,003 DEBUG  ROS Time: 1653983877 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:57:59,007 DEBUG  ROS Time: 1653983879 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:01,010 DEBUG  ROS Time: 1653983881 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:03,014 DEBUG  ROS Time: 1653983883 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:05,016 DEBUG  ROS Time: 1653983885 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:07,023 DEBUG  ROS Time: 1653983887 | active tasks: 0 | terminated tasks: 0 | active robots: 1
2022-05-31 15:58:09,028 DEBUG  ROS Time: 1653983889 | active tasks: 0 | terminated tasks: 0 | active robots: 1
